"epoch","denim-frost-166 - _step","denim-frost-166 - _step__MIN","denim-frost-166 - _step__MAX","denim-frost-166 - train/accuracy_epoch","denim-frost-166 - train/accuracy_epoch__MIN","denim-frost-166 - train/accuracy_epoch__MAX","gallant-sun-165 - _step","gallant-sun-165 - _step__MIN","gallant-sun-165 - _step__MAX","gallant-sun-165 - train/accuracy_epoch","gallant-sun-165 - train/accuracy_epoch__MIN","gallant-sun-165 - train/accuracy_epoch__MAX","warm-elevator-164 - _step","warm-elevator-164 - _step__MIN","warm-elevator-164 - _step__MAX","warm-elevator-164 - train/accuracy_epoch","warm-elevator-164 - train/accuracy_epoch__MIN","warm-elevator-164 - train/accuracy_epoch__MAX","fresh-darkness-163 - _step","fresh-darkness-163 - _step__MIN","fresh-darkness-163 - _step__MAX","fresh-darkness-163 - train/accuracy_epoch","fresh-darkness-163 - train/accuracy_epoch__MIN","fresh-darkness-163 - train/accuracy_epoch__MAX","whole-eon-162 - _step","whole-eon-162 - _step__MIN","whole-eon-162 - _step__MAX","whole-eon-162 - train/accuracy_epoch","whole-eon-162 - train/accuracy_epoch__MIN","whole-eon-162 - train/accuracy_epoch__MAX","treasured-bush-159 - _step","treasured-bush-159 - _step__MIN","treasured-bush-159 - _step__MAX","treasured-bush-159 - train/accuracy_epoch","treasured-bush-159 - train/accuracy_epoch__MIN","treasured-bush-159 - train/accuracy_epoch__MAX","trim-water-158 - _step","trim-water-158 - _step__MIN","trim-water-158 - _step__MAX","trim-water-158 - train/accuracy_epoch","trim-water-158 - train/accuracy_epoch__MIN","trim-water-158 - train/accuracy_epoch__MAX","rose-fog-156 - _step","rose-fog-156 - _step__MIN","rose-fog-156 - _step__MAX","rose-fog-156 - train/accuracy_epoch","rose-fog-156 - train/accuracy_epoch__MIN","rose-fog-156 - train/accuracy_epoch__MAX","kind-durian-155 - _step","kind-durian-155 - _step__MIN","kind-durian-155 - _step__MAX","kind-durian-155 - train/accuracy_epoch","kind-durian-155 - train/accuracy_epoch__MIN","kind-durian-155 - train/accuracy_epoch__MAX","distinctive-disco-153 - _step","distinctive-disco-153 - _step__MIN","distinctive-disco-153 - _step__MAX","distinctive-disco-153 - train/accuracy_epoch","distinctive-disco-153 - train/accuracy_epoch__MIN","distinctive-disco-153 - train/accuracy_epoch__MAX","crisp-field-152 - _step","crisp-field-152 - _step__MIN","crisp-field-152 - _step__MAX","crisp-field-152 - train/accuracy_epoch","crisp-field-152 - train/accuracy_epoch__MIN","crisp-field-152 - train/accuracy_epoch__MAX","stoic-jazz-100 - _step","stoic-jazz-100 - _step__MIN","stoic-jazz-100 - _step__MAX","stoic-jazz-100 - train/accuracy_epoch","stoic-jazz-100 - train/accuracy_epoch__MIN","stoic-jazz-100 - train/accuracy_epoch__MAX"
"0","3","3","3","0.1158600002527237","0.1158600002527237","0.1158600002527237","3","3","3","0.11513999849557877","0.11513999849557877","0.11513999849557877","3","3","3","0.10480000078678131","0.10480000078678131","0.10480000078678131","79","79","79","0.28755998611450195","0.28755998611450195","0.28755998611450195","79","79","79","0.2680400013923645","0.2680400013923645","0.2680400013923645","79","79","79","0.1278200000524521","0.1278200000524521","0.1278200000524521","79","79","79","0.25562000274658203","0.25562000274658203","0.25562000274658203","79","79","79","0.2906799912452698","0.2906799912452698","0.2906799912452698","79","79","79","0.2788200080394745","0.2788200080394745","0.2788200080394745","3","3","3","0.10586000233888626","0.10586000233888626","0.10586000233888626","79","79","79","0.22134000062942505","0.22134000062942505","0.22134000062942505","79","79","79","0.30597999691963196","0.30597999691963196","0.30597999691963196"
"1","7","7","7","0.17552000284194946","0.17552000284194946","0.17552000284194946","7","7","7","0.1627800017595291","0.1627800017595291","0.1627800017595291","7","7","7","0.1032399982213974","0.1032399982213974","0.1032399982213974","159","159","159","0.4567599892616272","0.4567599892616272","0.4567599892616272","159","159","159","0.43331998586654663","0.43331998586654663","0.43331998586654663","159","159","159","0.2667199969291687","0.2667199969291687","0.2667199969291687","159","159","159","0.41773998737335205","0.41773998737335205","0.41773998737335205","159","159","159","0.4510999917984009","0.4510999917984009","0.4510999917984009","159","159","159","0.44064000248908997","0.44064000248908997","0.44064000248908997","7","7","7","0.10146000236272812","0.10146000236272812","0.10146000236272812","159","159","159","0.39952000975608826","0.39952000975608826","0.39952000975608826","159","159","159","0.46790000796318054","0.46790000796318054","0.46790000796318054"
"2","11","11","11","0.23467999696731567","0.23467999696731567","0.23467999696731567","11","11","11","0.22402000427246094","0.22402000427246094","0.22402000427246094","11","11","11","0.10552000254392624","0.10552000254392624","0.10552000254392624","239","239","239","0.5272200107574463","0.5272200107574463","0.5272200107574463","239","239","239","0.5054799914360046","0.5054799914360046","0.5054799914360046","239","239","239","0.37996000051498413","0.37996000051498413","0.37996000051498413","239","239","239","0.504580020904541","0.504580020904541","0.504580020904541","239","239","239","0.5152199864387512","0.5152199864387512","0.5152199864387512","239","239","239","0.5119199752807617","0.5119199752807617","0.5119199752807617","11","11","11","0.12383999675512314","0.12383999675512314","0.12383999675512314","239","239","239","0.49911999702453613","0.49911999702453613","0.49911999702453613","239","239","239","0.5289400219917297","0.5289400219917297","0.5289400219917297"
"3","15","15","15","0.2740600109100342","0.2740600109100342","0.2740600109100342","15","15","15","0.2685000002384186","0.2685000002384186","0.2685000002384186","15","15","15","0.12133999913930893","0.12133999913930893","0.12133999913930893","319","319","319","0.5717200040817261","0.5717200040817261","0.5717200040817261","319","319","319","0.5511000156402588","0.5511000156402588","0.5511000156402588","319","319","319","0.47589999437332153","0.47589999437332153","0.47589999437332153","319","319","319","0.5553399920463562","0.5553399920463562","0.5553399920463562","319","319","319","0.5637000203132629","0.5637000203132629","0.5637000203132629","319","319","319","0.5590999722480774","0.5590999722480774","0.5590999722480774","15","15","15","0.17462000250816345","0.17462000250816345","0.17462000250816345","319","319","319","0.5546200275421143","0.5546200275421143","0.5546200275421143","319","319","319","0.5739399790763855","0.5739399790763855","0.5739399790763855"
"4","19","19","19","0.30414000153541565","0.30414000153541565","0.30414000153541565","19","19","19","0.2888000011444092","0.2888000011444092","0.2888000011444092","19","19","19","0.16087999939918518","0.16087999939918518","0.16087999939918518","399","399","399","0.5969600081443787","0.5969600081443787","0.5969600081443787","399","399","399","0.5830000042915344","0.5830000042915344","0.5830000042915344","399","399","399","0.531279981136322","0.531279981136322","0.531279981136322","399","399","399","0.5893399715423584","0.5893399715423584","0.5893399715423584","399","399","399","0.5920400023460388","0.5920400023460388","0.5920400023460388","399","399","399","0.5902000069618225","0.5902000069618225","0.5902000069618225","19","19","19","0.20747999846935272","0.20747999846935272","0.20747999846935272","399","399","399","0.5860400199890137","0.5860400199890137","0.5860400199890137","399","399","399","0.5964599847793579","0.5964599847793579","0.5964599847793579"
"5","23","23","23","0.32853999733924866","0.32853999733924866","0.32853999733924866","23","23","23","0.3368600010871887","0.3368600010871887","0.3368600010871887","23","23","23","0.18508000671863556","0.18508000671863556","0.18508000671863556","479","479","479","0.6148999929428101","0.6148999929428101","0.6148999929428101","479","479","479","0.6036800146102905","0.6036800146102905","0.6036800146102905","479","479","479","0.5659599900245667","0.5659599900245667","0.5659599900245667","479","479","479","0.6118000149726868","0.6118000149726868","0.6118000149726868","479","479","479","0.6121399998664856","0.6121399998664856","0.6121399998664856","479","479","479","0.6119599938392639","0.6119599938392639","0.6119599938392639","23","23","23","0.22628000378608704","0.22628000378608704","0.22628000378608704","479","479","479","0.6103399991989136","0.6103399991989136","0.6103399991989136","479","479","479","0.6148599982261658","0.6148599982261658","0.6148599982261658"
"6","27","27","27","0.36983999609947205","0.36983999609947205","0.36983999609947205","27","27","27","0.362419992685318","0.362419992685318","0.362419992685318","27","27","27","0.20958000421524048","0.20958000421524048","0.20958000421524048","559","559","559","0.6269199848175049","0.6269199848175049","0.6269199848175049","559","559","559","0.6155200004577637","0.6155200004577637","0.6155200004577637","559","559","559","0.5899400115013123","0.5899400115013123","0.5899400115013123","559","559","559","0.6279600262641907","0.6279600262641907","0.6279600262641907","559","559","559","0.623199999332428","0.623199999332428","0.623199999332428","559","559","559","0.625","0.625","0.625","27","27","27","0.25095999240875244","0.25095999240875244","0.25095999240875244","559","559","559","0.6243399977684021","0.6243399977684021","0.6243399977684021","559","559","559","0.6196799874305725","0.6196799874305725","0.6196799874305725"
"7","31","31","31","0.40582001209259033","0.40582001209259033","0.40582001209259033","31","31","31","0.39489999413490295","0.39489999413490295","0.39489999413490295","31","31","31","0.23868000507354736","0.23868000507354736","0.23868000507354736","639","639","639","0.6349400281906128","0.6349400281906128","0.6349400281906128","639","639","639","0.6236600279808044","0.6236600279808044","0.6236600279808044","639","639","639","0.6116799712181091","0.6116799712181091","0.6116799712181091","639","639","639","0.6380000114440918","0.6380000114440918","0.6380000114440918","639","639","639","0.6301800012588501","0.6301800012588501","0.6301800012588501","639","639","639","0.6305400133132935","0.6305400133132935","0.6305400133132935","31","31","31","0.2753799855709076","0.2753799855709076","0.2753799855709076","639","639","639","0.639959990978241","0.639959990978241","0.639959990978241","639","639","639","0.6323999762535095","0.6323999762535095","0.6323999762535095"
"8","35","35","35","0.4120199978351593","0.4120199978351593","0.4120199978351593","35","35","35","0.4066599905490875","0.4066599905490875","0.4066599905490875","35","35","35","0.25547999143600464","0.25547999143600464","0.25547999143600464","719","719","719","0.6392999887466431","0.6392999887466431","0.6392999887466431","719","719","719","0.6320599913597107","0.6320599913597107","0.6320599913597107","719","719","719","0.6314200162887573","0.6314200162887573","0.6314200162887573","719","719","719","0.646340012550354","0.646340012550354","0.646340012550354","719","719","719","0.6370999813079834","0.6370999813079834","0.6370999813079834","719","719","719","0.6381000280380249","0.6381000280380249","0.6381000280380249","35","35","35","0.2909199893474579","0.2909199893474579","0.2909199893474579","719","719","719","0.6519200205802917","0.6519200205802917","0.6519200205802917","719","719","719","0.6374800205230713","0.6374800205230713","0.6374800205230713"
"9","39","39","39","0.43988001346588135","0.43988001346588135","0.43988001346588135","39","39","39","0.45197999477386475","0.45197999477386475","0.45197999477386475","39","39","39","0.28303998708724976","0.28303998708724976","0.28303998708724976","801","801","801","0.6403599977493286","0.6403599977493286","0.6403599977493286","801","801","801","0.6328200101852417","0.6328200101852417","0.6328200101852417","801","801","801","0.644860029220581","0.644860029220581","0.644860029220581","801","801","801","0.6510599851608276","0.6510599851608276","0.6510599851608276","801","801","801","0.6386600136756897","0.6386600136756897","0.6386600136756897","801","801","801","0.6388800144195557","0.6388800144195557","0.6388800144195557","39","39","39","0.3082599937915802","0.3082599937915802","0.3082599937915802","801","801","801","0.6569799780845642","0.6569799780845642","0.6569799780845642","801","801","801","0.6383000016212463","0.6383000016212463","0.6383000016212463"
