"epoch","denim-frost-166 - _step","denim-frost-166 - _step__MIN","denim-frost-166 - _step__MAX","denim-frost-166 - train/loss_epoch","denim-frost-166 - train/loss_epoch__MIN","denim-frost-166 - train/loss_epoch__MAX","gallant-sun-165 - _step","gallant-sun-165 - _step__MIN","gallant-sun-165 - _step__MAX","gallant-sun-165 - train/loss_epoch","gallant-sun-165 - train/loss_epoch__MIN","gallant-sun-165 - train/loss_epoch__MAX","warm-elevator-164 - _step","warm-elevator-164 - _step__MIN","warm-elevator-164 - _step__MAX","warm-elevator-164 - train/loss_epoch","warm-elevator-164 - train/loss_epoch__MIN","warm-elevator-164 - train/loss_epoch__MAX","fresh-darkness-163 - _step","fresh-darkness-163 - _step__MIN","fresh-darkness-163 - _step__MAX","fresh-darkness-163 - train/loss_epoch","fresh-darkness-163 - train/loss_epoch__MIN","fresh-darkness-163 - train/loss_epoch__MAX","whole-eon-162 - _step","whole-eon-162 - _step__MIN","whole-eon-162 - _step__MAX","whole-eon-162 - train/loss_epoch","whole-eon-162 - train/loss_epoch__MIN","whole-eon-162 - train/loss_epoch__MAX","treasured-bush-159 - _step","treasured-bush-159 - _step__MIN","treasured-bush-159 - _step__MAX","treasured-bush-159 - train/loss_epoch","treasured-bush-159 - train/loss_epoch__MIN","treasured-bush-159 - train/loss_epoch__MAX","trim-water-158 - _step","trim-water-158 - _step__MIN","trim-water-158 - _step__MAX","trim-water-158 - train/loss_epoch","trim-water-158 - train/loss_epoch__MIN","trim-water-158 - train/loss_epoch__MAX","rose-fog-156 - _step","rose-fog-156 - _step__MIN","rose-fog-156 - _step__MAX","rose-fog-156 - train/loss_epoch","rose-fog-156 - train/loss_epoch__MIN","rose-fog-156 - train/loss_epoch__MAX","kind-durian-155 - _step","kind-durian-155 - _step__MIN","kind-durian-155 - _step__MAX","kind-durian-155 - train/loss_epoch","kind-durian-155 - train/loss_epoch__MIN","kind-durian-155 - train/loss_epoch__MAX","distinctive-disco-153 - _step","distinctive-disco-153 - _step__MIN","distinctive-disco-153 - _step__MAX","distinctive-disco-153 - train/loss_epoch","distinctive-disco-153 - train/loss_epoch__MIN","distinctive-disco-153 - train/loss_epoch__MAX","crisp-field-152 - _step","crisp-field-152 - _step__MIN","crisp-field-152 - _step__MAX","crisp-field-152 - train/loss_epoch","crisp-field-152 - train/loss_epoch__MIN","crisp-field-152 - train/loss_epoch__MAX","stoic-jazz-100 - _step","stoic-jazz-100 - _step__MIN","stoic-jazz-100 - _step__MAX","stoic-jazz-100 - train/loss_epoch","stoic-jazz-100 - train/loss_epoch__MIN","stoic-jazz-100 - train/loss_epoch__MAX"
"0","3","3","3","3.1008412837982178","3.1008412837982178","3.1008412837982178","3","3","3","3.036937713623047","3.036937713623047","3.036937713623047","3","3","3","3.5813050270080566","3.5813050270080566","3.5813050270080566","79","79","79","1.962854027748108","1.962854027748108","1.962854027748108","79","79","79","2.007869005203247","2.007869005203247","2.007869005203247","79","79","79","2.329754590988159","2.329754590988159","2.329754590988159","79","79","79","2.030113697052002","2.030113697052002","2.030113697052002","79","79","79","1.9487404823303223","1.9487404823303223","1.9487404823303223","79","79","79","1.9868285655975342","1.9868285655975342","1.9868285655975342","3","3","3","3.8638041019439697","3.8638041019439697","3.8638041019439697","79","79","79","2.0814411640167236","2.0814411640167236","2.0814411640167236","79","79","79","1.9193278551101685","1.9193278551101685","1.9193278551101685"
"1","7","7","7","2.329153060913086","2.329153060913086","2.329153060913086","7","7","7","2.3128371238708496","2.3128371238708496","2.3128371238708496","7","7","7","2.47062087059021","2.47062087059021","2.47062087059021","159","159","159","1.497839093208313","1.497839093208313","1.497839093208313","159","159","159","1.562275767326355","1.562275767326355","1.562275767326355","159","159","159","1.9316929578781128","1.9316929578781128","1.9316929578781128","159","159","159","1.5846223831176758","1.5846223831176758","1.5846223831176758","159","159","159","1.5179506540298462","1.5179506540298462","1.5179506540298462","159","159","159","1.5401893854141235","1.5401893854141235","1.5401893854141235","7","7","7","2.474494218826294","2.474494218826294","2.474494218826294","159","159","159","1.6222703456878662","1.6222703456878662","1.6222703456878662","159","159","159","1.464904546737671","1.464904546737671","1.464904546737671"
"2","11","11","11","2.019582509994507","2.019582509994507","2.019582509994507","11","11","11","2.03997802734375","2.03997802734375","2.03997802734375","11","11","11","2.3220226764678955","2.3220226764678955","2.3220226764678955","239","239","239","1.3225797414779663","1.3225797414779663","1.3225797414779663","239","239","239","1.3769023418426514","1.3769023418426514","1.3769023418426514","239","239","239","1.6772722005844116","1.6772722005844116","1.6772722005844116","239","239","239","1.374066710472107","1.374066710472107","1.374066710472107","239","239","239","1.3436301946640015","1.3436301946640015","1.3436301946640015","239","239","239","1.3528069257736206","1.3528069257736206","1.3528069257736206","11","11","11","2.297616481781006","2.297616481781006","2.297616481781006","239","239","239","1.3888648748397827","1.3888648748397827","1.3888648748397827","239","239","239","1.316666841506958","1.316666841506958","1.316666841506958"
"3","15","15","15","1.9282145500183105","1.9282145500183105","1.9282145500183105","15","15","15","1.920640468597412","1.920640468597412","1.920640468597412","15","15","15","2.288158416748047","2.288158416748047","2.288158416748047","319","319","319","1.205468773841858","1.205468773841858","1.205468773841858","319","319","319","1.2572497129440308","1.2572497129440308","1.2572497129440308","319","319","319","1.453887701034546","1.453887701034546","1.453887701034546","319","319","319","1.2421789169311523","1.2421789169311523","1.2421789169311523","319","319","319","1.2214024066925049","1.2214024066925049","1.2214024066925049","319","319","319","1.2298030853271484","1.2298030853271484","1.2298030853271484","15","15","15","2.164759874343872","2.164759874343872","2.164759874343872","319","319","319","1.2477055788040161","1.2477055788040161","1.2477055788040161","319","319","319","1.2084585428237915","1.2084585428237915","1.2084585428237915"
"4","19","19","19","1.8508957624435425","1.8508957624435425","1.8508957624435425","19","19","19","1.8958622217178345","1.8958622217178345","1.8958622217178345","19","19","19","2.2263731956481934","2.2263731956481934","2.2263731956481934","399","399","399","1.137669324874878","1.137669324874878","1.137669324874878","399","399","399","1.1776647567749023","1.1776647567749023","1.1776647567749023","399","399","399","1.3127580881118774","1.3127580881118774","1.3127580881118774","399","399","399","1.1595349311828613","1.1595349311828613","1.1595349311828613","399","399","399","1.15389084815979","1.15389084815979","1.15389084815979","399","399","399","1.1551870107650757","1.1551870107650757","1.1551870107650757","19","19","19","2.0611279010772705","2.0611279010772705","2.0611279010772705","399","399","399","1.168345332145691","1.168345332145691","1.168345332145691","399","399","399","1.1442447900772095","1.1442447900772095","1.1442447900772095"
"5","23","23","23","1.8029721975326538","1.8029721975326538","1.8029721975326538","23","23","23","1.7858681678771973","1.7858681678771973","1.7858681678771973","23","23","23","2.11511492729187","2.11511492729187","2.11511492729187","479","479","479","1.090463399887085","1.090463399887085","1.090463399887085","479","479","479","1.119941234588623","1.119941234588623","1.119941234588623","479","479","479","1.2183783054351807","1.2183783054351807","1.2183783054351807","479","479","479","1.0962661504745483","1.0962661504745483","1.0962661504745483","479","479","479","1.0991939306259155","1.0991939306259155","1.0991939306259155","479","479","479","1.100294589996338","1.100294589996338","1.100294589996338","23","23","23","2.0030856132507324","2.0030856132507324","2.0030856132507324","479","479","479","1.099937915802002","1.099937915802002","1.099937915802002","479","479","479","1.0888534784317017","1.0888534784317017","1.0888534784317017"
"6","27","27","27","1.693496584892273","1.693496584892273","1.693496584892273","27","27","27","1.7198978662490845","1.7198978662490845","1.7198978662490845","27","27","27","2.0361838340759277","2.0361838340759277","2.0361838340759277","559","559","559","1.0607553720474243","1.0607553720474243","1.0607553720474243","559","559","559","1.0894559621810913","1.0894559621810913","1.0894559621810913","559","559","559","1.1523778438568115","1.1523778438568115","1.1523778438568115","559","559","559","1.0548611879348755","1.0548611879348755","1.0548611879348755","559","559","559","1.0698459148406982","1.0698459148406982","1.0698459148406982","559","559","559","1.0716789960861206","1.0716789960861206","1.0716789960861206","27","27","27","1.9558619260787964","1.9558619260787964","1.9558619260787964","559","559","559","1.0612620115280151","1.0612620115280151","1.0612620115280151","559","559","559","1.0716718435287476","1.0716718435287476","1.0716718435287476"
"7","31","31","31","1.607783317565918","1.607783317565918","1.607783317565918","31","31","31","1.6467229127883911","1.6467229127883911","1.6467229127883911","31","31","31","1.9790109395980835","1.9790109395980835","1.9790109395980835","639","639","639","1.0402275323867798","1.0402275323867798","1.0402275323867798","639","639","639","1.067382574081421","1.067382574081421","1.067382574081421","639","639","639","1.1031173467636108","1.1031173467636108","1.1031173467636108","639","639","639","1.027916431427002","1.027916431427002","1.027916431427002","639","639","639","1.0518907308578491","1.0518907308578491","1.0518907308578491","639","639","639","1.0503864288330078","1.0503864288330078","1.0503864288330078","31","31","31","1.9123622179031372","1.9123622179031372","1.9123622179031372","639","639","639","1.0265148878097534","1.0265148878097534","1.0265148878097534","639","639","639","1.0448970794677734","1.0448970794677734","1.0448970794677734"
"8","35","35","35","1.5865437984466553","1.5865437984466553","1.5865437984466553","35","35","35","1.612745761871338","1.612745761871338","1.612745761871338","35","35","35","1.932847023010254","1.932847023010254","1.932847023010254","719","719","719","1.0269334316253662","1.0269334316253662","1.0269334316253662","719","719","719","1.0463712215423584","1.0463712215423584","1.0463712215423584","719","719","719","1.0600433349609375","1.0600433349609375","1.0600433349609375","719","719","719","1.0063562393188477","1.0063562393188477","1.0063562393188477","719","719","719","1.0355093479156494","1.0355093479156494","1.0355093479156494","719","719","719","1.0318279266357422","1.0318279266357422","1.0318279266357422","35","35","35","1.870187759399414","1.870187759399414","1.870187759399414","719","719","719","1.0012041330337524","1.0012041330337524","1.0012041330337524","719","719","719","1.0357502698898315","1.0357502698898315","1.0357502698898315"
"9","39","39","39","1.5402089357376099","1.5402089357376099","1.5402089357376099","39","39","39","1.5049693584442139","1.5049693584442139","1.5049693584442139","39","39","39","1.8885104656219482","1.8885104656219482","1.8885104656219482","801","801","801","1.0247471332550049","1.0247471332550049","1.0247471332550049","801","801","801","1.0407119989395142","1.0407119989395142","1.0407119989395142","801","801","801","1.0285768508911133","1.0285768508911133","1.0285768508911133","801","801","801","0.9960511922836304","0.9960511922836304","0.9960511922836304","801","801","801","1.0287933349609375","1.0287933349609375","1.0287933349609375","801","801","801","1.0332798957824707","1.0332798957824707","1.0332798957824707","39","39","39","1.8388673067092896","1.8388673067092896","1.8388673067092896","801","801","801","0.9866935014724731","0.9866935014724731","0.9866935014724731","801","801","801","1.0286332368850708","1.0286332368850708","1.0286332368850708"
